DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
12/10/2009,1023266404,4183660.8,5767899.712
12/11/2009,1024398430,4134672,5573715.011
12/12/2009,1026969471,4134672,7005084.034
12/13/2009,1029830676,4110220.8,7269779.042
12/14/2009,1032217003,4110220.8,6804048.921
12/15/2009,1034929191,4110220.8,7116794.673
12/16/2009,1037171276,4134672,6666698.17
12/17/2009,1040381864,4134672,7631774.36
12/18/2009,1042635826,4110220.8,6661609.293
12/19/2009,1044886533,4110220.8,6657866.032
12/20/2009,1047473375,4134672,7011078.144
12/21/2009,1050224504,4134672,7178546.24
12/22/2009,1051683007,4110220.8,5865909.528
12/23/2009,1054286662,4134672,7030675.214
12/24/2009,1056076589,4159123.2,6255575.615
12/25/2009,1057710494,4208112,6154458.648
12/26/2009,1059673725,4232563.2,6492453.059
12/27/2009,1061145427,4159123.2,5941166.192
12/28/2009,1062626134,4134672,5916920.628
12/29/2009,1063932475,4159123.2,5758847.382
12/30/2009,1065907351,4134672,6402296.751
12/31/2009,1068547306,4110220.8,7042394.311
1/1/2010,1071353856,4110220.8,7208859.311
1/2/2010,1074168891,4110220.8,7220284.819
1/3/2010,1076496000,4134672,6761527.438
1/4/2010,1078323635,4134672,6253398.163
1/5/2010,1081326776,4134672,7448134.399
1/6/2010,1083335116,4134672,6457026.646
1/7/2010,1084838419,4159123.2,5955698.851
1/8/2010,1085001621,4208112,4669876.607
1/9/2010,1086180446,4232563.2,5707028.912
1/10/2010,1088361460,4208112,6700827.899
1/11/2010,1090044087,4183660.8,6168648.786
1/12/2010,1091557950,4159123.2,5970598.496
1/13/2010,1093748536,4134672,6624617.07
1/14/2010,1095779917,4110220.8,6450004.974
1/15/2010,1097979064,4110220.8,6611381.097
1/16/2010,1099677714,4134672,6149125.113
1/17/2010,1101718976,4159123.2,6497223.882
1/18/2010,1103423411,4134672,6132488.399
1/19/2010,1106321546,4085769.6,7294587.318
1/20/2010,1108542969,4159123.2,6674184.691
1/21/2010,1110568960,4134672,6452255.823
1/22/2010,1112919899,4110220.8,6750958.232
1/23/2010,1115103233,4110220.8,6597362.219
1/24/2010,1116952293,4110220.8,6256480.848
1/25/2010,1119143497,4110220.8,6595037.972
1/26/2010,1121007828,4110220.8,6273778.137
1/27/2010,1123033128,4110220.8,6431044.013
1/28/2010,1125070750,3400704,5793760.015
1/29/2010,1127451219,3302899.2,6056962.612
1/30/2010,1129662996,3278361.6,5876307.474
1/31/2010,1132738222,3351801.6,6802042.729
2/1/2010,1135644684,3351801.6,6634060.852
2/2/2010,1138048736,3327350.4,6119790.672
2/3/2010,1140281335,3351801.6,5959931.426
2/4/2010,1142694022,3302899.2,6119643.878
2/5/2010,1145104168,3253910.4,5793295.166
2/6/2010,1148043699,3107116.8,6158960.347
2/7/2010,1150303434,3107116.8,5469980.207
2/8/2010,1152033784,3156105.6,4970658.604
2/9/2010,1154302684,3107116.8,5492415.305
2/10/2010,1156565898,3107116.8,5492684.429
2/11/2010,1159014196,3082665.6,5663382.004
2/12/2010,1162340348,2837980.8,6287527.892
2/13/2010,1165143740,2813529.6,5742724.449
2/14/2010,1167608936,2789078.4,5387065.762
2/15/2010,1170433988,2789078.4,5770370.753
2/16/2010,1173084268,2789078.4,5601728.301
2/17/2010,1175566264,2764627.2,5398393.407
2/18/2010,1177872489,2691187.2,5162054.209
2/19/2010,1180722371,2764627.2,5786420.289
2/20/2010,1183212767,2764627.2,5444511.356
2/21/2010,1185183868,2764627.2,4920381.477
2/22/2010,1186974486,2764627.2,4747041.6
2/23/2010,1189303074,2764627.2,5287661.398
2/24/2010,1191636202,2764627.2,5294511.809
2/25/2010,1194518067,2715724.8,5817393.935
2/26/2010,1196841796,2691187.2,5245213.312
2/27/2010,1199123882,2691187.2,5197725.281
2/28/2010,1201410297,2691187.2,5198850.706
3/1/2010,1203710429,2715724.8,5238827.75
3/2/2010,1205824219,2715724.8,5066123.982
3/3/2010,1208306523,2691187.2,5426235.437
3/4/2010,1210610430,2666736,5231903.941
3/5/2010,1213283776,2471040,5381022.721
3/6/2010,1215954951,2471040,5373634.062
3/7/2010,1218630751,2471040,5379285.652
3/8/2010,1221673129,2250806.4,5518715.992
3/9/2010,1224186727,2231280,4968334.358
3/10/2010,1227241601,2028240,5297765.755
3/11/2010,1230128561,2013552,5115593.74
3/12/2010,1233198310,2001283.2,5285777.535
3/13/2010,1235913348,2008627.2,4938779.725
3/14/2010,1238633023,2015971.2,4949520.192
3/15/2010,1242089456,1991520,5661033.292
3/16/2010,1245011348,2038003.2,5176489.005
3/17/2010,1247385328,2211667.2,4809698.399
3/18/2010,1250686195,2216592,5579366.6
3/19/2010,1253807294,2221516.8,5396093.626
3/20/2010,1256567662,2243462.4,5059640.557
